"year","month","day","dep_time","dep_delay","arr_time","carrier","airline","arr_delay","tailnum","flight","origin","dest","air_time","distance","hour","minute","temp","wind","precip","visib"
2013,1,1,2058,-2,2342,"EV","ExpressJet Airlines Inc.",25,"N14953",4088,"EWR","SDF",136,642,20,58,38.48,12.758647826087,0,10
2013,1,1,2100,0,2307,"MQ","Envoy Air",17,"N0EGMQ",4584,"LGA","CLT",101,544,21,0,38.48,12.758647826087,0,10
2013,1,1,2353,-6,425,"B6","JetBlue Airways",-20,"N591JB",739,"JFK","PSE",195,1617,23,53,38.48,12.758647826087,0,10
2013,1,2,603,3,733,"AA","American Airlines Inc.",-12,"N3CRAA",301,"LGA","ORD",118,733,6,3,28.835,12.5147325,0,10
2013,1,2,629,14,746,"EV","ExpressJet Airlines Inc.",11,"N15574",4144,"EWR","IAD",51,212,6,29,28.835,12.5147325,0,10
2013,1,2,641,-4,930,"B6","JetBlue Airways",-5,"N563JB",389,"LGA","MCO",142,950,6,41,28.835,12.5147325,0,10
2013,1,2,700,0,851,"AA","American Airlines Inc.",1,"N436AA",305,"LGA","ORD",122,733,7,0,28.835,12.5147325,0,10
2013,1,2,827,-8,1120,"F9","Frontier Airlines Inc.",18,"N211FR",835,"LGA","DEN",239,1620,8,27,28.835,12.5147325,0,10
2013,1,2,834,34,1226,"WN","Southwest Airlines Co.",41,"N923WN",2392,"EWR","PHX",331,2133,8,34,28.835,12.5147325,0,10
2013,1,2,854,3,1146,"UA","United Air Lines Inc.",-36,"N37434",1670,"EWR","SEA",312,2402,8,54,28.835,12.5147325,0,10
2013,1,2,907,3,1231,"B6","JetBlue Airways",21,"N505JB",17,"JFK","FLL",160,1069,9,7,28.835,12.5147325,0,10
2013,1,2,958,-2,1240,"UA","United Air Lines Inc.",-32,"N27733",1623,"EWR","MCO",147,937,9,58,28.835,12.5147325,0,10
2013,1,2,1000,0,1307,"US","US Airways Inc.",-18,"N667AW",75,"EWR","PHX",292,2133,10,0,28.835,12.5147325,0,10
2013,1,2,1028,-2,1255,"DL","Delta Air Lines Inc.",3,"N337NB",2343,"EWR","ATL",126,746,10,28,28.835,12.5147325,0,10
2013,1,2,1126,-9,1451,"DL","Delta Air Lines Inc.",-4,"N327NW",1171,"LGA","RSW",169,1080,11,26,28.835,12.5147325,0,10
2013,1,2,1240,0,1556,"AA","American Airlines Inc.",16,"N4XRAA",1853,"EWR","DFW",233,1372,12,40,28.835,12.5147325,0,10
2013,1,2,1327,-2,1433,"EV","ExpressJet Airlines Inc.",-20,"N21154",4254,"EWR","BUF",54,282,13,27,28.835,12.5147325,0,10
2013,1,2,1332,5,1419,"EV","ExpressJet Airlines Inc.",-14,"N14153",4316,"EWR","ALB",33,143,13,32,28.835,12.5147325,0,10
2013,1,2,1345,65,1642,"AA","American Airlines Inc.",47,"N5CYAA",2041,"JFK","MIA",159,1089,13,45,28.835,12.5147325,0,10
2013,1,2,1352,-3,1635,"B6","JetBlue Airways",-34,"N712JB",83,"JFK","SEA",323,2422,13,52,28.835,12.5147325,0,10
2013,1,2,1457,27,1741,"UA","United Air Lines Inc.",14,"N37267",1687,"EWR","MCO",143,937,14,57,28.835,12.5147325,0,10
2013,1,2,1529,14,1709,"MQ","Envoy Air",9,"N636MQ",4333,"JFK","PIT",71,340,15,29,28.835,12.5147325,0,10
2013,1,2,1549,16,1922,"B6","JetBlue Airways",25,"N629JB",137,"JFK","RSW",169,1074,15,49,28.835,12.5147325,0,10
2013,1,2,1633,-7,1958,"B6","JetBlue Airways",-3,"N324JB",139,"JFK","RSW",172,1074,16,33,28.835,12.5147325,0,10
2013,1,2,1643,18,1931,"UA","United Air Lines Inc.",10,"N14106",1641,"EWR","MCO",142,937,16,43,28.835,12.5147325,0,10
2013,1,2,1749,0,1904,"B6","JetBlue Airways",-5,"N239JB",1307,"JFK","IAD",52,228,17,49,28.835,12.5147325,0,10
2013,1,2,1905,-4,2053,"EV","ExpressJet Airlines Inc.",7,"N13903",3807,"EWR","BNA",143,748,19,5,28.835,12.5147325,0,10
2013,1,2,1933,-7,2107,"MQ","Envoy Air",-18,"N516MQ",3783,"JFK","CMH",80,483,19,33,28.835,12.5147325,0,10
2013,1,2,1935,39,2138,"EV","ExpressJet Airlines Inc.",35,"N12922",4153,"EWR","CLT",97,529,19,35,28.835,12.5147325,0,10
2013,1,2,1958,-2,2303,"VX","Virgin America",-22,"N622VA",415,"JFK","LAX",335,2475,19,58,28.835,12.5147325,0,10
2013,1,2,2043,164,2251,"EV","ExpressJet Airlines Inc.",182,"N18557",4581,"EWR","CMH",103,463,20,43,28.835,12.5147325,0,10
2013,1,2,2100,0,2258,"MQ","Envoy Air",8,"N518MQ",4584,"LGA","CLT",92,544,21,0,28.835,12.5147325,0,10
2013,1,3,701,1,937,"B6","JetBlue Airways",-37,"N624JB",671,"JFK","LAX",313,2475,7,1,29.4575,7.86366333333333,0,10
2013,1,3,720,-1,1036,"B6","JetBlue Airways",24,"N775JB",987,"JFK","MCO",156,944,7,20,29.4575,7.86366333333333,0,10
2013,1,3,826,-4,1007,"B6","JetBlue Airways",-5,"N279JB",905,"JFK","ORD",133,740,8,26,29.4575,7.86366333333333,0,10
2013,1,3,835,0,1102,"F9","Frontier Airlines Inc.",0,"N203FR",835,"LGA","DEN",219,1620,8,35,29.4575,7.86366333333333,0,10
2013,1,3,840,-5,1154,"B6","JetBlue Airways",-11,"N665JB",553,"EWR","RSW",168,1068,8,40,29.4575,7.86366333333333,0,10
2013,1,3,846,6,1115,"UA","United Air Lines Inc.",-28,"N26215",1626,"EWR","SAN",306,2425,8,46,29.4575,7.86366333333333,0,10
2013,1,3,958,4,1254,"UA","United Air Lines Inc.",6,"N77430",1623,"EWR","MCO",148,937,9,58,29.4575,7.86366333333333,0,10
2013,1,3,959,-1,1258,"DL","Delta Air Lines Inc.",19,"N603DL",1847,"LGA","ATL",134,762,9,59,29.4575,7.86366333333333,0,10
2013,1,3,1153,-7,1441,"MQ","Envoy Air",11,"N517MQ",4658,"LGA","ATL",133,762,11,53,29.4575,7.86366333333333,0,10
2013,1,3,1156,-4,1505,"B6","JetBlue Airways",17,"N520JB",523,"EWR","MCO",157,937,11,56,29.4575,7.86366333333333,0,10
2013,1,3,1230,-5,1416,"MQ","Envoy Air",1,"N810MQ",4404,"JFK","RDU",88,427,12,30,29.4575,7.86366333333333,0,10
2013,1,3,1256,40,1502,"EV","ExpressJet Airlines Inc.",61,"N15555",4450,"EWR","CMH",102,463,12,56,29.4575,7.86366333333333,0,10
2013,1,3,1258,5,1601,"UA","United Air Lines Inc.",6,"N35260",1673,"EWR","MCO",162,937,12,58,29.4575,7.86366333333333,0,10
2013,1,3,1436,7,1623,"DL","Delta Air Lines Inc.",-19,"N927DA",1819,"LGA","MSP",147,1020,14,36,29.4575,7.86366333333333,0,10
2013,1,3,1455,9,1801,"UA","United Air Lines Inc.",4,"N493UA",477,"LGA","IAH",227,1416,14,55,29.4575,7.86366333333333,0,10
2013,1,3,1550,30,1710,"9E","Endeavor Air Inc.",16,"N8976E",4105,"JFK","IAD",51,228,15,50,29.4575,7.86366333333333,0,10
2013,1,3,1607,-3,1735,"AA","American Airlines Inc.",-25,"N511AA",341,"LGA","ORD",120,733,16,7,29.4575,7.86366333333333,0,10
2013,1,3,1626,-4,1853,"B6","JetBlue Airways",-59,"N652JB",675,"JFK","LAX",301,2475,16,26,29.4575,7.86366333333333,0,10
2013,1,3,1633,-2,1908,"US","US Airways Inc.",-52,"N664AW",656,"EWR","PHX",263,2133,16,33,29.4575,7.86366333333333,0,10
2013,1,3,1704,-6,1904,"US","US Airways Inc.",-11,"N180US",1447,"LGA","CLT",95,544,17,4,29.4575,7.86366333333333,0,10
2013,1,3,1730,5,2024,"UA","United Air Lines Inc.",1,"N48127",1134,"EWR","IAH",209,1400,17,30,29.4575,7.86366333333333,0,10
2013,1,3,1902,-2,2027,"EV","ExpressJet Airlines Inc.",1,"N11113",4131,"EWR","RIC",54,277,19,2,29.4575,7.86366333333333,0,10
2013,1,3,1909,-6,2125,"EV","ExpressJet Airlines Inc.",-12,"N11181",4085,"EWR","OMA",156,1134,19,9,29.4575,7.86366333333333,0,10
2013,1,3,1918,18,2050,"UA","United Air Lines Inc.",10,"N855UA",954,"EWR","ORD",114,719,19,18,29.4575,7.86366333333333,0,10
2013,1,3,1922,22,2103,"9E","Endeavor Air Inc.",7,"N8884E",3828,"JFK","PIT",69,340,19,22,29.4575,7.86366333333333,0,10
2013,1,3,2019,19,2303,"VX","Virgin America",-22,"N623VA",415,"JFK","LAX",309,2475,20,19,29.4575,7.86366333333333,0,10
2013,1,3,2059,59,2236,"EV","ExpressJet Airlines Inc.",59,"N11547",5676,"EWR","GSO",74,445,20,59,29.4575,7.86366333333333,0,10
2013,1,4,556,-4,706,"EV","ExpressJet Airlines Inc.",-9,"N877AS",5716,"JFK","IAD",51,228,5,56,33.4775,13.8573091666667,0,10
2013,1,4,556,-4,645,"US","US Airways Inc.",-14,"N952UW",1833,"LGA","PHL",31,96,5,56,33.4775,13.8573091666667,0,10
2013,1,4,601,1,732,"MQ","Envoy Air",-3,"N500MQ",3768,"EWR","ORD",120,719,6,1,33.4775,13.8573091666667,0,10
2013,1,4,603,3,915,"AA","American Airlines Inc.",5,"N3GDAA",707,"LGA","DFW",214,1389,6,3,33.4775,13.8573091666667,0,10
2013,1,4,625,-5,835,"US","US Airways Inc.",-6,"N170US",1433,"LGA","CLT",87,544,6,25,33.4775,13.8573091666667,0,10
2013,1,4,633,-2,927,"UA","United Air Lines Inc.",-12,"N25705",1627,"EWR","PBI",152,1023,6,33,33.4775,13.8573091666667,0,10
2013,1,4,705,0,956,"UA","United Air Lines Inc.",-4,"N473UA",775,"EWR","MCO",147,937,7,5,33.4775,13.8573091666667,0,10
2013,1,4,755,-4,1057,"UA","United Air Lines Inc.",-8,"N570UA",248,"EWR","IAH",212,1400,7,55,33.4775,13.8573091666667,0,10
2013,1,4,811,-4,956,"9E","Endeavor Air Inc.",-2,"N909XJ",3521,"JFK","ORD",124,740,8,11,33.4775,13.8573091666667,0,10
2013,1,4,836,-4,939,"UA","United Air Lines Inc.",-20,"N76503",1268,"EWR","BOS",41,200,8,36,33.4775,13.8573091666667,0,10
2013,1,4,908,23,1227,"B6","JetBlue Airways",42,"N265JB",59,"JFK","TPA",156,1005,9,8,33.4775,13.8573091666667,0,10
2013,1,4,917,-3,1228,"AA","American Airlines Inc.",-12,"N544AA",1589,"EWR","DFW",208,1372,9,17,33.4775,13.8573091666667,0,10
2013,1,4,937,2,1052,"WN","Southwest Airlines Co.",-13,"N7726A",986,"LGA","MDW",111,725,9,37,33.4775,13.8573091666667,0,10
2013,1,4,954,34,1141,"B6","JetBlue Airways",33,"N284JB",1103,"JFK","RDU",79,427,9,54,33.4775,13.8573091666667,0,10
2013,1,4,1100,0,1343,"UA","United Air Lines Inc.",-49,"N87513",1298,"EWR","SFO",323,2565,11,0,33.4775,13.8573091666667,0,10
2013,1,4,1116,2,1332,"UA","United Air Lines Inc.",-13,"N35204",1493,"LGA","DEN",227,1620,11,16,33.4775,13.8573091666667,0,10
2013,1,4,1259,0,1448,"US","US Airways Inc.",-14,"N180US",1459,"LGA","CLT",89,544,12,59,33.4775,13.8573091666667,0,10
2013,1,4,1343,2,1932,"UA","United Air Lines Inc.",-3,"N76065",15,"EWR","HNL",623,4963,13,43,33.4775,13.8573091666667,0,10
2013,1,4,1505,6,1629,"UA","United Air Lines Inc.",-5,"N33266",1418,"EWR","ORD",116,719,15,5,33.4775,13.8573091666667,0,10
2013,1,4,1529,-1,1915,"AA","American Airlines Inc.",20,"N3ANAA",1039,"JFK","FLL",158,1069,15,29,33.4775,13.8573091666667,0,10
2013,1,4,1547,-1,1836,"DL","Delta Air Lines Inc.",-49,"N3743H",1773,"JFK","SLC",269,1990,15,47,33.4775,13.8573091666667,0,10
2013,1,4,1551,-4,1903,"DL","Delta Air Lines Inc.",-4,"N315US",1695,"LGA","TPA",157,1010,15,51,33.4775,13.8573091666667,0,10
2013,1,4,1555,60,1851,"UA","United Air Lines Inc.",46,"N488UA",473,"EWR","FLL",158,1065,15,55,33.4775,13.8573091666667,0,10
2013,1,4,1625,15,1815,"AA","American Airlines Inc.",15,"N4WKAA",341,"LGA","ORD",121,733,16,25,33.4775,13.8573091666667,0,10
2013,1,4,1744,24,2045,"AA","American Airlines Inc.",5,"N5CRAA",1999,"EWR","MIA",154,1085,17,44,33.4775,13.8573091666667,0,10
2013,1,4,1802,2,2018,"US","US Airways Inc.",17,"N544UW",373,"JFK","CLT",91,541,18,2,33.4775,13.8573091666667,0,10
2013,1,4,1819,-1,2111,"AA","American Airlines Inc.",-39,"N3FAAA",119,"EWR","LAX",314,2454,18,19,33.4775,13.8573091666667,0,10
2013,1,4,1839,34,2011,"MQ","Envoy Air",16,"N502MQ",4626,"LGA","CMH",73,479,18,39,33.4775,13.8573091666667,0,10
2013,1,4,1854,-4,2021,"EV","ExpressJet Airlines Inc.",-34,"N611QX",5038,"LGA","BHM",128,866,18,54,33.4775,13.8573091666667,0,10
2013,1,4,1856,-3,2216,"B6","JetBlue Airways",-18,"N659JB",171,"JFK","SMF",341,2521,18,56,33.4775,13.8573091666667,0,10
2013,1,4,1941,6,2227,"AA","American Airlines Inc.",-13,"N3JMAA",791,"LGA","DFW",206,1389,19,41,33.4775,13.8573091666667,0,10
2013,1,4,2037,22,2329,"B6","JetBlue Airways",8,"N646JB",47,"JFK","FLL",151,1069,20,37,33.4775,13.8573091666667,0,10
2013,1,4,2048,8,2305,"B6","JetBlue Airways",-9,"N249JB",619,"JFK","JAX",122,828,20,48,33.4775,13.8573091666667,0,10
2013,1,5,606,-4,703,"WN","Southwest Airlines Co.",-12,"N469WN",3170,"EWR","BWI",33,169,6,6,36.7325,10.8365116666667,0,10
2013,1,5,639,9,757,"AA","American Airlines Inc.",-13,"N3CYAA",303,"LGA","ORD",120,733,6,39,36.7325,10.8365116666667,0,10
2013,1,5,651,6,904,"UA","United Air Lines Inc.",-18,"N38257",1245,"LGA","DEN",234,1620,6,51,36.7325,10.8365116666667,0,10
2013,1,5,737,0,1122,"B6","JetBlue Airways",9,"N784JB",643,"JFK","SFO",371,2586,7,37,36.7325,10.8365116666667,0,10
2013,1,5,742,-3,1220,"UA","United Air Lines Inc.",-14,"N77871",1274,"EWR","SJU",197,1608,7,42,36.7325,10.8365116666667,0,10
2013,1,5,851,-7,1248,"UA","United Air Lines Inc.",37,"N431UA",214,"EWR","IAH",231,1400,8,51,36.7325,10.8365116666667,0,10
2013,1,5,914,-6,1056,"B6","JetBlue Airways",-12,"N192JB",1103,"JFK","RDU",73,427,9,14,36.7325,10.8365116666667,0,10
2013,1,5,919,-1,1301,"AA","American Airlines Inc.",16,"N470AA",721,"LGA","DFW",237,1389,9,19,36.7325,10.8365116666667,0,10
2013,1,5,1225,0,1402,"WN","Southwest Airlines Co.",17,"N760SW",408,"EWR","MDW",122,711,12,25,36.7325,10.8365116666667,0,10
2013,1,5,1240,-5,1537,"AA","American Airlines Inc.",-23,"N3FXAA",2253,"LGA","MIA",158,1096,12,40,36.7325,10.8365116666667,0,10
2013,1,5,1305,5,1452,"MQ","Envoy Air",2,"N725MQ",4426,"LGA","CMH",88,479,13,5,36.7325,10.8365116666667,0,10
2013,1,5,1504,5,1831,"B6","JetBlue Airways",26,"N526JB",63,"JFK","TPA",161,1005,15,4,36.7325,10.8365116666667,0,10
2013,1,5,1536,7,1647,"EV","ExpressJet Airlines Inc.",5,"N33182",3267,"EWR","ORF",54,284,15,36,36.7325,10.8365116666667,0,10
2013,1,5,1552,-3,1654,"B6","JetBlue Airways",-21,"N353JB",12,"JFK","SYR",47,209,15,52,36.7325,10.8365116666667,0,10
2013,1,5,1600,0,1825,"FL","AirTran Airways Corporation",5,"N972AT",620,"LGA","ATL",127,762,16,0,36.7325,10.8365116666667,0,10
2013,1,5,1603,3,1913,"DL","Delta Air Lines Inc.",-17,"N327NW",161,"JFK","MIA",157,1089,16,3,36.7325,10.8365116666667,0,10
2013,1,5,1605,-5,1656,"9E","Endeavor Air Inc.",-35,"N8751D",3689,"JFK","PHL",27,94,16,5,36.7325,10.8365116666667,0,10
2013,1,5,1615,0,1923,"B6","JetBlue Airways",10,"N588JB",985,"LGA","TPA",164,1010,16,15,36.7325,10.8365116666667,0,10
2013,1,5,1640,5,1811,"EV","ExpressJet Airlines Inc.",0,"N15910",4485,"EWR","RDU",71,416,16,40,36.7325,10.8365116666667,0,10
2013,1,5,1744,-1,2050,"B6","JetBlue Airways",13,"N658JB",391,"LGA","MCO",148,950,17,44,36.7325,10.8365116666667,0,10
2013,1,6,559,-1,906,"B6","JetBlue Airways",10,"N807JB",71,"JFK","TPA",164,1005,5,59,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,605,5,837,"FL","AirTran Airways Corporation",22,"N947AT",345,"LGA","ATL",134,762,6,5,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,611,-4,839,"DL","Delta Air Lines Inc.",-3,"N325NB",575,"EWR","ATL",127,746,6,11,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,724,-6,832,"US","US Airways Inc.",-6,"N957UW",1153,"LGA","PHL",45,96,7,24,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,749,12,1113,"B6","JetBlue Airways",0,"N705JB",643,"JFK","SFO",358,2586,7,49,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,754,-5,1007,"EV","ExpressJet Airlines Inc.",11,"N14907",4584,"EWR","MEM",170,946,7,54,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,754,-5,949,"US","US Airways Inc.",-10,"N170US",1733,"LGA","CLT",94,544,7,54,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,806,-4,1256,"AA","American Airlines Inc.",-19,"N5FFAA",655,"JFK","STT",199,1623,8,6,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,809,-1,923,"EV","ExpressJet Airlines Inc.",-14,"N27962",4185,"EWR","BOS",40,200,8,9,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,943,163,1227,"EV","ExpressJet Airlines Inc.",175,"N11106",4304,"EWR","MSY",200,1167,9,43,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,954,-1,1233,"MQ","Envoy Air",13,"N544MQ",4654,"LGA","ATL",128,762,9,54,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1107,-8,1439,"AA","American Airlines Inc.",14,"N3EGAA",2099,"LGA","MIA",172,1096,11,7,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1133,10,1449,"B6","JetBlue Airways",24,"N590JB",1,"JFK","FLL",169,1069,11,33,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1145,-7,1439,"EV","ExpressJet Airlines Inc.",15,"N13914",4679,"EWR","JAX",144,820,11,45,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1158,-2,1437,"DL","Delta Air Lines Inc.",-1,"N555NW",1947,"LGA","ATL",126,762,11,58,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1223,23,1449,"EV","ExpressJet Airlines Inc.",41,"N12126",4689,"EWR","CHS",117,628,12,23,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1325,-5,1628,"B6","JetBlue Airways",-13,"N587JB",355,"JFK","BUR",344,2465,13,25,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1356,111,1536,"MQ","Envoy Air",111,"N730MQ",4431,"LGA","RDU",76,431,13,56,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1417,57,1625,"EV","ExpressJet Airlines Inc.",52,"N13118",4519,"EWR","IND",105,645,14,17,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1518,13,1811,"EV","ExpressJet Airlines Inc.",34,"N10575",3817,"EWR","JAX",145,820,15,18,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1541,-9,1814,"9E","Endeavor Air Inc.",-12,"N917XJ",3427,"JFK","IND",110,665,15,41,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1542,-3,1846,"DL","Delta Air Lines Inc.",-4,"N370NW",2377,"LGA","MCO",155,950,15,42,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1553,-7,1849,"DL","Delta Air Lines Inc.",9,"N627DL",847,"LGA","ATL",125,762,15,53,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1722,-8,1946,"F9","Frontier Airlines Inc.",-7,"N210FR",511,"LGA","DEN",235,1620,17,22,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1726,81,1847,"9E","Endeavor Air Inc.",53,"N908XJ",3459,"JFK","BNA",122,765,17,26,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1933,18,34,"UA","United Air Lines Inc.",26,"N12225",1669,"EWR","SJU",211,1608,19,33,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1942,1,2057,"UA","United Air Lines Inc.",-16,"N34282",120,"EWR","ORD",111,719,19,42,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,1950,-10,2200,"EV","ExpressJet Airlines Inc.",15,"N11539",3272,"LGA","CLE",74,419,19,50,37.97,8.00751083333333,0,9.16666666666667
2013,1,6,2300,15,14,"B6","JetBlue Airways",18,"N281JB",608,"JFK","PWM",45,273,23,0,37.97,8.00751083333333,0,9.16666666666667
2013,1,7,536,-4,1020,"B6","JetBlue Airways",3,"N641JB",725,"JFK","BQN",200,1576,5,36,41.2775,8.87059583333333,0,10
2013,1,7,754,-5,907,"EV","ExpressJet Airlines Inc.",-9,"N22909",4392,"EWR","SYR",44,195,7,54,41.2775,8.87059583333333,0,10
2013,1,7,802,-3,1016,"9E","Endeavor Air Inc.",-13,"N901XJ",3538,"JFK","MSP",165,1029,8,2,41.2775,8.87059583333333,0,10
2013,1,7,827,-3,1011,"9E","Endeavor Air Inc.",-12,"N8883E",4220,"JFK","RDU",66,427,8,27,41.2775,8.87059583333333,0,10
2013,1,7,834,-1,1143,"UA","United Air Lines Inc.",-32,"N33294",1480,"EWR","SFO",344,2565,8,34,41.2775,8.87059583333333,0,10
2013,1,7,845,-5,1027,"MQ","Envoy Air",-8,"N711MQ",4558,"LGA","CLE",68,419,8,45,41.2775,8.87059583333333,0,10
2013,1,7,859,-1,1102,"DL","Delta Air Lines Inc.",-14,"N332NW",181,"LGA","DTW",86,502,8,59,41.2775,8.87059583333333,0,10
2013,1,7,901,91,1118,"DL","Delta Air Lines Inc.",74,"N340NB",807,"EWR","ATL",102,746,9,1,41.2775,8.87059583333333,0,10
2013,1,7,922,-8,1047,"9E","Endeavor Air Inc.",-16,"N8828D",3661,"JFK","ROC",54,264,9,22,41.2775,8.87059583333333,0,10
2013,1,7,1000,101,1444,"B6","JetBlue Airways",97,"N564JB",717,"JFK","SJU",202,1598,10,0,41.2775,8.87059583333333,0,10
2013,1,7,1007,10,1119,"EV","ExpressJet Airlines Inc.",-6,"N16561",4187,"EWR","BNA",118,748,10,7,41.2775,8.87059583333333,0,10
2013,1,7,1109,-7,1400,"UA","United Air Lines Inc.",-14,"N24715",1143,"EWR","PBI",153,1023,11,9,41.2775,8.87059583333333,0,10
2013,1,7,1121,83,1237,"UA","United Air Lines Inc.",60,"N846UA",258,"LGA","ORD",114,733,11,21,41.2775,8.87059583333333,0,10
2013,1,7,1127,-2,1437,"B6","JetBlue Airways",-1,"N537JB",133,"JFK","RSW",166,1074,11,27,41.2775,8.87059583333333,0,10
2013,1,7,1129,4,1611,"DL","Delta Air Lines Inc.",-9,"N3755D",315,"JFK","SJU",197,1598,11,29,41.2775,8.87059583333333,0,10
